T_W1,T_W2,T_W3,T_W4
1147.96639273692,1147.96639273692,1209.21683563179,1212.44585555053
1147.9664092621,1147.96640926211,1209.27688009302,1212.4969619656
1147.96642461967,1147.96642461967,1209.33378027236,1212.54542309613
1147.96644096116,1147.96644096116,1209.39440300743,1212.59689014571
1147.96645650539,1147.96645650539,1209.45219600258,1212.64607100903
1147.96647253693,1147.96647253693,1209.5122071752,1212.69694217907
1147.96648767875,1147.96648767875,1209.56981486146,1212.74579466153
1147.96650343586,1147.96650343586,1209.62944005868,1212.79623820268
1147.96651852004,1147.96651852004,1209.68730995278,1212.84515933703
1147.96653339901,1147.96653339901,1209.74408044211,1212.89313140466
1147.96654736527,1147.96654736526,1209.79833652128,1212.93899505028
1147.96656199641,1147.96656199641,1209.85524429222,1212.98696412872
1147.9665758762,1147.9665758762,1209.90918187681,1213.03255691435
1147.96659009061,1147.96659009061,1209.96494876851,1213.07948642554
1147.96660390015,1147.96660390015,1210.02002969093,1213.12577506191
1147.96661742328,1147.96661742328,1210.07350142489,1213.17080977769
1147.96663116509,1147.96663116509,1210.128345933,1213.21681389381
1147.96664447395,1147.96664447395,1210.18224597265,1213.26196883671
1147.96665684882,1147.96665684882,1210.22966404649,1213.30217392503
1147.9666703451,1147.9666703451,1210.28668053517,1213.34960645114
1147.96668342811,1147.96668342811,1210.34008727028,1213.3941205353
1147.96669618644,1147.96669618644,1210.39281928901,1213.43812267668
1147.96670833807,1147.96670833807,1210.44283719669,1213.47992651983
1147.96672077588,1147.96672077588,1210.49428657378,1213.52275104759
1147.96673290179,1147.96673290179,1210.54531296421,1213.56515187088
1147.96674472663,1147.96674472663,1210.59447420191,1213.60612093597
1147.966756671,1147.966756671,1210.64472281068,1213.64779871104
1147.96676837101,1147.96676837101,1210.69471345929,1213.68918944673
1147.96677971045,1147.96677971045,1210.74248437198,1213.72887174789
1147.96679111647,1147.96679111647,1210.79122267675,1213.76914776328
1147.96680240335,1147.96680240335,1210.84021853187,1213.80955174887
1147.96681337044,1147.96681337044,1210.8871547166,1213.84837959513
1147.96682443919,1147.96682443919,1210.93506685035,1213.88781637512
1147.96683529105,1147.96683529104,1210.98276631401,1213.92700094305
1147.96684573611,1147.96684573611,1211.02784788353,1213.96418467815
1147.96685614004,1147.96685614004,1211.0736497417,1214.00173017525
1147.96686667442,1147.96686667442,1211.12071118272,1214.04020570456
1147.96687683253,1147.96687683253,1211.16533334403,1214.07682521479
1147.9668870674,1147.9668870674,1211.21082773271,1214.11395550488
1147.96689714284,1147.96689714283,1211.25630372898,1214.15098755272
1147.96690678425,1147.96690678425,1211.29885093795,1214.1858014263
1147.96691629947,1147.96691629947,1211.34195638124,1214.2208157753
1147.9669261548,1147.9669261548,1211.38709060036,1214.25737064042
1147.9669354973,1147.9669354973,1211.42897579507,1214.29146491044
1147.96694482752,1147.96694482752,1211.47157825837,1214.32590636501
1147.96695424729,1147.96695424729,1211.51520869312,1214.36107805605
1147.96696321221,1147.96696321221,1211.55571265153,1214.39390146834
1147.96697207012,1147.96697207012,1211.59672754718,1214.42688625785
1147.96698121189,1147.96698121189,1211.63953738091,1214.4612076268
1147.96698979367,1147.96698979367,1211.67858344342,1214.49271270168
1147.96699820609,1147.96699820609,1211.71826707658,1214.52442447822
1147.96700712276,1147.96700712276,1211.76030231863,1214.55794913641
1147.96701530543,1147.96701530543,1211.79763300536,1214.58795464722
1147.96702393255,1147.96702393255,1211.83893588286,1214.62068821271
1147.9670324582,1147.9670324582,1211.87933080099,1214.65272799922
1147.96704044752,1147.96704044752,1211.91714043939,1214.68274091534
1147.96704871676,1147.96704871676,1211.95635621156,1214.71373882682
1147.96705627824,1147.96705627823,1211.9934563537,1214.7430563941
1147.96706417021,1147.96706417021,1212.02930043555,1214.77133597994
1147.96707197893,1147.96707197893,1212.06729481913,1214.80118625927
1147.96707951894,1147.96707951894,1212.1028091071,1214.8292815056
1147.96708714933,1147.96708714932,1212.13914116817,1214.85759929386
1147.96709462123,1147.96709462123,1212.17586074621,1214.88622081484
1147.9671015421,1147.9671015421,1212.20691555526,1214.91082344852
